id,count_id,item_id,count_quantity,confirm_status,location_id_at_count,counted_by,counted_at,notes,created_at,updated_at,created_by,updated_by,source_excel_rows
134,2,69,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,74
135,2,72,5,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,77
136,2,73,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,78
137,2,75,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,80
138,2,76,3,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,81
139,2,77,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,82
140,2,78,3,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,83
141,2,80,4,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,85
142,2,81,10,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,86
143,2,82,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,87
144,2,83,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,88
145,2,84,14,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,89
146,2,87,5,confirmed,10,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,92
147,2,94,19,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,99
148,2,97,5,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,102
149,2,98,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,103
150,2,99,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,104
151,2,100,8,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,105
152,2,101,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,106
153,2,102,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,107
154,2,103,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,108
155,2,104,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,109
156,2,105,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,110
157,2,106,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,111
158,2,107,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,112
159,2,108,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,113
160,2,109,6,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,114
